"AÑO,""TRIMESTRE"",""PROVEEDOR"",""COD_DEPARTAMENTO"",""DEPARTAMENTO"",""COD_MUNICIPIO"",""MUNICIPIO"",""SEGMENTO"",""TECNOLOGIA"",""VELOCIDAD_BAJADA"",""VELOCIDAD_SUBIDA"",""No DE ACCESOS"""
"2019,""3"",""COMUNICACION CELULAR S A COMCEL S A"",""50"",""META"",""50001"",""VILLAVICENCIO"",""RESIDENCIAL - ESTRATO 6"",""CABLE"",""15,00"",""1,02"",""81"""
"2018,""1"",""EDATEL S.A."",""05"",""ANTIOQUIA"",""05425"",""MACEO"",""RESIDENCIAL - ESTRATO 3"",""XDSL"",""2,00"",""1,00"",""13"""
"2018,""3"",""COLOMBIA TELECOMUNICACIONES S.A. E.S.P."",""85"",""CASANARE"",""85410"",""TAURAMENA"",""RESIDENCIAL - ESTRATO 2"",""XDSL"",""1,00"",""1,00"",""6"""
"2017,""3"",""EDATEL S.A."",""05"",""ANTIOQUIA"",""05091"",""BETANIA"",""CORPORATIVO"",""XDSL"",""10,00"",""1,00"",""7"""
"2020,""2"",""UNE EPM TELECOMUNICACIONES S.A."",""76"",""VALLE DEL CAUCA"",""76001"",""CALI"",""RESIDENCIAL - ESTRATO 2"",""HYBRID FIBER COAXIAL (HFC)"",""60,00"",""10,00"",""285"""
"2017,""2"",""EDATEL S.A."",""20"",""CESAR"",""20013"",""AGUSTÍN CODAZZI"",""CORPORATIVO"",""OTRAS TECNOLOGÍAS FIJAS"",""5,00"",""0,51"",""36"""
"2020,""1"",""ACCESS DIGITAL S.A.S"",""15"",""BOYACÁ"",""15835"",""TURMEQUÉ"",""CORPORATIVO"",""WIFI"",""4,00"",""1,20"",""1"""
"2018,""4"",""EDATEL S.A."",""05"",""ANTIOQUIA"",""05576"",""PUEBLORRICO"",""RESIDENCIAL - ESTRATO 1"",""XDSL"",""1,00"",""1,00"",""5"""
"2020,""2"",""MEDIA COMMERCE PARTNERS S.A."",""41"",""HUILA"",""41026"",""ALTAMIRA"",""CORPORATIVO"",""OTRAS TECNOLOGÍAS INALÁMBRICAS"",""0,51"",""0,51"",""1"""
"2017,""4"",""AXESS NETWORKS SOLUTIONS COLOMBIA SAS"",""25"",""CUNDINAMARCA"",""25745"",""SIMIJACA"",""CORPORATIVO"",""SATELITAL"",""0,25"",""0,25"",""1"""
